"name","region","sub_region_1","date","value"
"deaths","BC","591","2022-04-02",367
"deaths","BC","591","2022-04-09",379
"deaths","BC","591","2022-04-16",388
"deaths","BC","591","2022-04-23",405
"deaths","BC","591","2022-04-30",428
"deaths","BC","591","2022-05-07",443
"deaths","BC","591","2022-05-14",460
"deaths","BC","591","2022-05-21",470
"deaths","BC","591","2022-05-28",487
"deaths","BC","591","2022-06-04",503
"deaths","BC","591","2022-06-11",516
"deaths","BC","591","2022-06-18",529
"deaths","BC","591","2022-06-25",533
"deaths","BC","591","2022-07-02",541
"deaths","BC","591","2022-07-09",543
"deaths","BC","591","2022-07-16",548
"deaths","BC","591","2022-07-23",557
"deaths","BC","591","2022-07-30",560
"deaths","BC","591","2022-08-06",571
"deaths","BC","591","2022-08-13",581
"deaths","BC","592","2022-04-02",1348
"deaths","BC","592","2022-04-09",1356
"deaths","BC","592","2022-04-16",1364
"deaths","BC","592","2022-04-23",1383
"deaths","BC","592","2022-04-30",1404
"deaths","BC","592","2022-05-07",1435
"deaths","BC","592","2022-05-14",1472
"deaths","BC","592","2022-05-21",1499
"deaths","BC","592","2022-05-28",1528
"deaths","BC","592","2022-06-04",1542
"deaths","BC","592","2022-06-11",1562
"deaths","BC","592","2022-06-18",1574
"deaths","BC","592","2022-06-25",1583
"deaths","BC","592","2022-07-02",1605
"deaths","BC","592","2022-07-09",1623
"deaths","BC","592","2022-07-16",1639
"deaths","BC","592","2022-07-23",1663
"deaths","BC","592","2022-07-30",1677
"deaths","BC","592","2022-08-06",1690
"deaths","BC","592","2022-08-13",1701
"deaths","BC","593","2022-04-02",718
"deaths","BC","593","2022-04-09",721
"deaths","BC","593","2022-04-16",731
"deaths","BC","593","2022-04-23",745
"deaths","BC","593","2022-04-30",760
"deaths","BC","593","2022-05-07",780
"deaths","BC","593","2022-05-14",801
"deaths","BC","593","2022-05-21",824
"deaths","BC","593","2022-05-28",843
"deaths","BC","593","2022-06-04",860
"deaths","BC","593","2022-06-11",873
"deaths","BC","593","2022-06-18",883
"deaths","BC","593","2022-06-25",889
"deaths","BC","593","2022-07-02",894
"deaths","BC","593","2022-07-09",900
"deaths","BC","593","2022-07-16",904
"deaths","BC","593","2022-07-23",913
"deaths","BC","593","2022-07-30",917
"deaths","BC","593","2022-08-06",936
"deaths","BC","593","2022-08-13",944
"deaths","BC","594","2022-04-02",241
"deaths","BC","594","2022-04-09",250
"deaths","BC","594","2022-04-16",260
"deaths","BC","594","2022-04-23",279
"deaths","BC","594","2022-04-30",297
"deaths","BC","594","2022-05-07",309
"deaths","BC","594","2022-05-14",321
"deaths","BC","594","2022-05-21",330
"deaths","BC","594","2022-05-28",339
"deaths","BC","594","2022-06-04",357
"deaths","BC","594","2022-06-11",375
"deaths","BC","594","2022-06-18",380
"deaths","BC","594","2022-06-25",385
"deaths","BC","594","2022-07-02",390
"deaths","BC","594","2022-07-09",397
"deaths","BC","594","2022-07-16",404
"deaths","BC","594","2022-07-23",412
"deaths","BC","594","2022-07-30",420
"deaths","BC","594","2022-08-06",427
"deaths","BC","594","2022-08-13",439
"deaths","BC","595","2022-04-02",330
"deaths","BC","595","2022-04-09",330
"deaths","BC","595","2022-04-16",334
"deaths","BC","595","2022-04-23",335
"deaths","BC","595","2022-04-30",337
"deaths","BC","595","2022-05-07",340
"deaths","BC","595","2022-05-14",344
"deaths","BC","595","2022-05-21",346
"deaths","BC","595","2022-05-28",350
"deaths","BC","595","2022-06-04",352
"deaths","BC","595","2022-06-11",356
"deaths","BC","595","2022-06-18",356
"deaths","BC","595","2022-06-25",357
"deaths","BC","595","2022-07-02",358
"deaths","BC","595","2022-07-09",360
"deaths","BC","595","2022-07-16",360
"deaths","BC","595","2022-07-23",363
"deaths","BC","595","2022-07-30",366
"deaths","BC","595","2022-08-06",371
"deaths","BC","595","2022-08-13",372
